Fecha,Tipo_Combustible,Volumen
2000-01-01,Gasolina Regular,202645.2
2000-02-01,Gasolina Regular,205530.96
2000-03-01,Gasolina Regular,229499.56
2000-04-01,Gasolina Regular,210680.4
2000-05-01,Gasolina Regular,208164.34
2000-06-01,Gasolina Regular,195088.74
2000-07-01,Gasolina Regular,204556.77
2000-08-01,Gasolina Regular,218388.51
2000-09-01,Gasolina Regular,213906.96
2000-10-01,Gasolina Regular,213606.65
2000-11-01,Gasolina Regular,209227.48
2000-12-01,Gasolina Regular,230020.7
2001-01-01,Gasolina Regular,164547.35
2001-02-01,Gasolina Regular,174838.81
2001-03-01,Gasolina Regular,201992.65
2001-04-01,Gasolina Regular,198683.39
2001-05-01,Gasolina Regular,182504.09
2001-06-01,Gasolina Regular,201379.48
2001-07-01,Gasolina Regular,214980.24
2001-08-01,Gasolina Regular,204646.77
2001-09-01,Gasolina Regular,188292.35
2001-10-01,Gasolina Regular,225240.95
2001-11-01,Gasolina Regular,210324.95
2001-12-01,Gasolina Regular,223209.95
2002-01-01,Gasolina Regular,200309.85
2002-02-01,Gasolina Regular,183119.34
2002-03-01,Gasolina Regular,212711.71
2002-04-01,Gasolina Regular,204765.62
2002-05-01,Gasolina Regular,201083.51
2002-06-01,Gasolina Regular,187629.42
2002-07-01,Gasolina Regular,201692.64
2002-08-01,Gasolina Regular,205240.77
2002-09-01,Gasolina Regular,177614.8
2002-10-01,Gasolina Regular,203097.24
2002-11-01,Gasolina Regular,207629.81
2002-12-01,Gasolina Regular,199619.27
2003-01-01,Gasolina Regular,193713.62
2003-02-01,Gasolina Regular,184354.61
2003-03-01,Gasolina Regular,201443.37
2003-04-01,Gasolina Regular,219004.31
2003-05-01,Gasolina Regular,200407.18
2003-06-01,Gasolina Regular,168327.72
2003-07-01,Gasolina Regular,174317.57
2003-08-01,Gasolina Regular,171665.05
2003-09-01,Gasolina Regular,174757.95
2003-10-01,Gasolina Regular,209314.45
2003-11-01,Gasolina Regular,168510.0
2003-12-01,Gasolina Regular,196081.99
2004-01-01,Gasolina Regular,203975.57
2004-02-01,Gasolina Regular,180290.24
2004-03-01,Gasolina Regular,206455.62
2004-04-01,Gasolina Regular,182379.92
2004-05-01,Gasolina Regular,160741.9
2004-06-01,Gasolina Regular,164782.5
2004-07-01,Gasolina Regular,182642.41
2004-08-01,Gasolina Regular,207432.8
2004-09-01,Gasolina Regular,194240.55
2004-10-01,Gasolina Regular,200323.53
2004-11-01,Gasolina Regular,214509.65
2004-12-01,Gasolina Regular,236733.03
2005-01-01,Gasolina Regular,209901.6
2005-02-01,Gasolina Regular,198775.61
2005-03-01,Gasolina Regular,231358.58
2005-04-01,Gasolina Regular,225644.89
2005-05-01,Gasolina Regular,187048.26
2005-06-01,Gasolina Regular,202161.79
2005-07-01,Gasolina Regular,213821.77
2005-08-01,Gasolina Regular,212696.38
2005-09-01,Gasolina Regular,196776.87
2005-10-01,Gasolina Regular,192270.24
2005-11-01,Gasolina Regular,185251.12
2005-12-01,Gasolina Regular,241035.13
2006-01-01,Gasolina Regular,211152.72
2006-02-01,Gasolina Regular,200551.4
